symbol,K,Z_FE,p_FE,Q,tau2,I2,Z_RE,p_RE,FDR_RE,consistency,meta_FDR,FDR_FE,nerve_injury_consistency,K_nerve_injury,incision_lfc,incision_measured,incision_agreement
SORCS1,6,1.3386310873846166,0.18069080055570708,3.729196687491168,0.0,0.0,1.3386310873846166,0.18069080055570708,0.449007957341568,0.6666666666666666,0.2880505189550024,0.2880505189550024,0.6,5,0.2199861628214492,True,1.0
CXCR1,3,1.3386247051286206,0.18069287930822797,2.045707252163785,0.008337901387155514,2.2343007346451773,1.2977406728360825,0.19437646224473115,0.46439364940455974,0.6666666666666666,0.2880505189550024,0.2880505189550024,0.6666666666666666,3,0.0,True,0.0
TMEM89,4,1.3376378813039496,0.18101450953712672,7.951419610587646,0.4752736839350653,62.2708881316567,0.48637181056166556,0.626703573334435,0.815951981895034,0.5,0.2885354547244351,0.28853545472443387,0.6666666666666666,3,-0.0330494483317331,True,0.0
ANAPC5,6,1.337419998414137,0.1810855801927751,8.706723527393715,0.2876440804399118,42.573116232890094,1.1739594528976027,0.240411266948514,0.518203840413049,0.6666666666666666,0.2886053468940728,0.28860534689407286,0.8,5,-0.0545550973608399,True,0.0
IL4,4,-1.3373592166187418,0.18110541014419346,0.9087497140106766,0.0,0.0,-1.3373592166187416,0.18110541014419357,0.44962603100445353,1.0,0.2886053468940728,0.28860534689407286,1.0,3,-0.0014427533696359,True,1.0
CPA5,4,1.3373431084632912,0.18111066567114154,4.253495062744378,0.12031967862126532,29.469766492114275,1.079433754771306,0.2803944102438395,0.5593694441793456,0.75,0.2886053468940728,0.28860534689407286,0.6666666666666666,3,0.1251986680364304,True,1.0
SPPL2A,6,1.3368793940059074,0.18126200800380587,2.3799104070016472,0.0,0.0,1.3368793940059072,0.18126200800380599,0.4498124072682154,0.8333333333333334,0.2887912556692224,0.28879125566922204,0.8,5,0.1260017591795907,True,1.0
EPHA7,6,-1.3368787280480214,0.18126222541974069,6.574081342902742,0.12214970365897178,23.94374606578441,-1.2363813354627742,0.21631685058858918,0.48973552229532236,0.6666666666666666,0.2887912556692224,0.28879125566922204,0.8,5,0.035051864265561,True,0.0
SSR3,6,1.3365055321556638,0.18138409350470464,4.064136779107521,0.0,0.0,1.3365055321556636,0.18138409350470486,0.44998075794163206,0.6666666666666666,0.2889576049749635,0.28895760497496353,0.8,5,-0.0169665667891001,True,0.0
TLCD1,5,-1.3361791143260497,0.181490735938169,1.6362804003505906,0.0,0.0,-1.3361791143260495,0.181490735938169,0.4500297871378224,0.8,0.2890790781229774,0.28907907812297684,0.8,5,,False,
SLC24A5,4,-1.3361186602617887,0.18151049170679845,2.203840737896796,0.0,0.0,-1.3361186602617887,0.18151049170679845,0.4500297871378224,0.75,0.2890790781229774,0.28907907812297684,0.6666666666666666,3,-0.0014982813743866,True,1.0
REXO2,6,1.3361117831379064,0.18151273918149458,4.412623501285238,0.0,0.0,1.3361117831379061,0.1815127391814948,0.4500297871378224,0.5,0.2890790781229774,0.28907907812297684,0.6,5,0.0176384599650214,True,1.0
ASIC5,4,1.335834757743696,0.18160328948517312,1.6864541864914817,0.0,0.0,1.3358347577436958,0.18160328948517324,0.45011944407885407,0.75,0.2891828410069267,0.2891828410069267,0.6666666666666666,3,0.0089503790103547,True,1.0
GGNBP2,6,-1.335805562949607,0.18161283423556085,7.159498207092513,0.16757842105033427,30.162703371490746,-1.1138591479806446,0.26533961745377477,0.5443606033831035,0.6666666666666666,0.2891828410069267,0.2891828410069267,0.8,5,0.0086491139147621,True,0.0
GLO1,5,1.3356594435996128,0.18166061111082643,3.2017373735831143,0.0,0.0,1.3356594435996128,0.18166061111082643,0.4501941061695462,0.8,0.2892310922572527,0.2892310922572527,0.8,5,,False,
UROD,6,-1.3350479470545866,0.1818606542859481,0.9451874758820251,0.0,0.0,-1.3350479470545866,0.1818606542859481,0.4505525152012827,1.0,0.2895217418237004,0.2895217418237004,1.0,5,-0.224530389803335,True,1.0
IRGM,3,1.334967767079576,0.1818868962406338,1.9441073355571226,0.0,0.0,1.334967767079576,0.1818868962406338,0.4505525152012827,0.6666666666666666,0.2895356709535461,0.28953567095354593,,2,-0.0863837703762344,True,0.0
UBE3D,4,1.3347665238279471,0.181952773142951,3.9812462792460517,0.09418723733040635,24.646711366770184,1.2529518637157269,0.210223225425903,0.48408664819832303,0.75,0.289612684014052,0.2896126840140518,1.0,3,-0.0533718417083508,True,0.0
SYNGAP1,6,1.3343767765513062,0.1820804070963543,7.534795113733678,0.19670169738992277,33.641194955832376,1.4799091949129013,0.13889748150386666,0.3952262530259586,0.8333333333333334,0.2897651639285497,0.2897651639285474,0.8,5,0.2518762941650987,True,1.0
NUDT12,6,-1.3343670803153476,0.18208358325403706,15.048880439668151,0.7797994514987046,66.7749370456806,-0.6519303665496342,0.5144460942520883,0.746088824328447,0.6666666666666666,0.2897651639285497,0.2897651639285474,0.8,5,0.1102448416373995,True,0.0
ATP5MC2,4,1.3337990336757277,0.18226972777821693,11.285782098039386,0.7953303278109812,73.41788124261967,0.5141841607973404,0.6071232406606415,0.8032369644394792,0.5,0.2900166663309056,0.29001666633090467,0.6666666666666666,3,-0.321272869828582,True,0.0
SMS,4,-1.3337778682428196,0.18227666625425332,7.511426290363068,0.4330398878409513,60.06084751375502,-0.43688822585988013,0.6621924112142197,0.8378996526403109,0.5,0.2900166663309056,0.29001666633090467,0.6666666666666666,3,0.1412811068751871,True,0.0
ARHGEF19,6,1.3336761782977762,0.18231000509782347,2.992718037051046,0.0,0.0,1.3336761782977762,0.18231000509782347,0.4509620739838116,0.8333333333333334,0.2900373088995354,0.2900373088995354,0.8,5,0.0180120502426865,True,1.0
PI15,6,1.3336314037277006,0.18232468578417504,1.2437885968409645,0.0,0.0,1.3336314037277004,0.18232468578417516,0.4509620739838116,0.8333333333333334,0.2900373088995354,0.2900373088995354,0.8,5,0.1612127804919807,True,1.0
CSDE1,5,-1.3334411482547526,0.18238707652700614,1.233489926427533,0.0,0.0,-1.333441148254753,0.18238707652700614,0.4510489900903938,0.8,0.2901086767898333,0.2901086767898333,0.75,4,-0.1138351991964921,True,1.0
GAPDHS,4,1.3332319857423398,0.1824556857498506,0.5426772893795031,0.0,0.0,1.3332319857423396,0.1824556857498506,0.451112984700237,1.0,0.2901807679254503,0.2901807679254503,1.0,3,0.0222167980190303,True,1.0
TMEM30A,4,-1.3331960901714706,0.18246746209328701,1.3967833647788008,0.0,0.0,-1.3331960901714706,0.18246746209328701,0.451112984700237,0.75,0.2901807679254503,0.2901807679254503,0.75,4,,False,
VWA5B1,4,-1.3329902261747597,0.18253501125842497,23.251576441405643,1.9438953063517712,87.0976490236692,-0.39285993408631087,0.6944229351504798,0.8558517068213509,0.75,0.2902603041934482,0.29026030419343357,1.0,3,0.4494543514777391,True,0.0
RTN4IP1,6,1.332830589565787,0.18258740481453228,1.1359907671804292,0.0,0.0,1.332830589565787,0.18258740481453228,0.45127470874871406,0.8333333333333334,0.2903157276167279,0.29031572761672797,0.8,5,0.0248218573033005,True,1.0
SEC31B,4,1.332322636083473,0.18275419194213638,3.2303174559599834,0.02210756396702603,7.129870642745788,1.2109443859399902,0.22591671984493644,0.5010550109705733,0.5,0.2905530097998506,0.29055300979985027,0.6666666666666666,3,-0.1676967191065848,True,0.0
KLHL29,6,-1.3321618174643457,0.1828070204577531,13.553291412418243,0.663740800973505,63.10859223893958,-0.6531786498696249,0.5136411126204061,0.745978145560695,0.8333333333333334,0.2906090859217008,0.29060908592169893,1.0,5,0.3399361726950891,True,0.0
ZFP935,3,-1.3320200101732398,0.18285361319042293,0.08736919250755017,0.0,0.0,-1.33202001017324,0.18285361319042281,0.45156283427451893,1.0,0.2906496714175245,0.2906496714175245,1.0,3,,False,
LIPM,3,-1.3319772320449037,0.18286767025991424,0.202558749513542,0.0,0.0,-1.331977232044904,0.18286767025991424,0.45156283427451893,1.0,0.2906496714175245,0.2906496714175245,0.6666666666666666,3,-0.0341963658268299,True,1.0
GATM,6,-1.3318958645478534,0.18289441016594155,12.356489610319537,0.570868227313941,59.535433139325875,-0.29550563472519226,0.7676076485486691,0.8954430755358075,0.5,0.2906642608801406,0.2906642608801406,0.6,5,-0.0722615712701948,True,1.0
PHOX2A,4,1.3315800692240385,0.18299821784409376,9.5316534642131,0.6269561556620654,68.52592248277179,0.6065638788754559,0.5441403777492126,0.7656577934249956,0.5,0.2908013154527112,0.2908013154527112,0.6666666666666666,3,-0.1332963751864622,True,0.0
YY2,3,1.3311527941385808,0.18313874045387935,3.77085376809426,0.20754248285057172,46.96161339051942,0.9471085737138756,0.34358345630315024,0.61386047671741,0.6666666666666666,0.2909966815774805,0.29099668157748015,,2,0.2997931000467559,True,1.0
GASK1A,4,1.331078967059256,0.18316302886909475,0.5181822882624159,0.0,0.0,1.3310789670592558,0.18316302886909497,0.4520677069331918,0.75,0.291007338629416,0.291007338629416,0.6666666666666666,3,0.1694093366854783,True,1.0
BRINP3,6,-1.3308603529394274,0.1832349648591589,10.591975763504054,0.43394084140566347,52.79445391833212,-0.40791453618966683,0.6833364204167609,0.8495256444898773,0.5,0.2910936882953072,0.29109368829530646,0.6,5,0.1591697425184293,True,0.0
ATP5MK,3,-1.3303921231042128,0.18338910849037648,1.7291915046392112,0.0,0.0,-1.330392123104213,0.18338910849037637,0.4520677069331918,1.0,0.2913106068841374,0.2913106068841374,,2,-0.4411526722760293,True,1.0
